Source,Target,Type,Id,Label,Weight,relationship,Color
Q341364,Q898709,Directed,99,,1,subclass_of,"#000000"
Q389631,Q1033912,Directed,100,,1,subclass_of,"#000000"
Q530750,Q79784514,Directed,101,,1,subclass_of,"#000000"
Q606393,Q98528149,Directed,102,,1,subclass_of,"#000000"
Q744417,Q98528149,Directed,103,,1,subclass_of,"#000000"
Q780517,Q1165777,Directed,104,,1,subclass_of,"#000000"
Q832665,Q1033912,Directed,105,,1,subclass_of,"#000000"
Q915152,Q12200830,Directed,106,,1,subclass_of,"#000000"
Q1091450,Q4155078,Directed,107,,1,subclass_of,"#000000"
Q1243254,Q1033912,Directed,108,,1,subclass_of,"#000000"
Q1460303,Q9364028,Directed,109,,1,subclass_of,"#000000"
Q1460303,Q114880130,Directed,110,,1,subclass_of,"#000000"
Q1524033,Q898709,Directed,111,,1,subclass_of,"#000000"
Q1585015,Q1033912,Directed,112,,1,subclass_of,"#000000"
Q1585075,Q898709,Directed,113,,1,subclass_of,"#000000"
Q1751409,Q1165777,Directed,114,,1,subclass_of,"#000000"
Q1983750,Q1033912,Directed,115,,1,subclass_of,"#000000"
Q1987980,Q1165777,Directed,116,,1,subclass_of,"#000000"
Q2035976,Q135637,Directed,117,,1,subclass_of,"#000000"
Q2112253,Q12200830,Directed,118,,1,subclass_of,"#000000"
Q2260696,Q12200830,Directed,119,,1,subclass_of,"#000000"
Q2346991,Q114880130,Directed,120,,1,subclass_of,"#000000"
Q2374619,Q1033912,Directed,121,,1,subclass_of,"#000000"
Q2385862,Q12200830,Directed,122,,1,subclass_of,"#000000"
Q2608506,Q98528149,Directed,123,,1,subclass_of,"#000000"
Q3048168,Q1033912,Directed,124,,1,subclass_of,"#000000"
Q3066180,Q898709,Directed,125,,1,subclass_of,"#000000"
Q3108920,Q1100989,Directed,126,,1,subclass_of,"#000000"
Q3116754,Q1166726,Directed,127,,1,subclass_of,"#000000"
Q4846346,Q1165777,Directed,128,,1,subclass_of,"#000000"
Q4846346,Q114880130,Directed,129,,1,subclass_of,"#000000"
Q5402470,Q1033912,Directed,130,,1,subclass_of,"#000000"
Q5466607,Q114880130,Directed,131,,1,subclass_of,"#000000"
Q5510816,Q1165777,Directed,132,,1,subclass_of,"#000000"
Q6907397,Q114880130,Directed,133,,1,subclass_of,"#000000"
Q10360435,Q1166726,Directed,134,,1,subclass_of,"#000000"
Q12037719,Q1100989,Directed,135,,1,subclass_of,"#000000"
Q12042106,Q1100989,Directed,136,,1,subclass_of,"#000000"
