"","Source","Target","Type","Relationship"
"128","Q3116754","Q1166726","Directed","subclass_of"
"129","Q4846346","Q1165777","Directed","subclass_of"
"130","Q4846346","Q114880130","Directed","subclass_of"
"131","Q5402470","Q1033912","Directed","subclass_of"
"132","Q5466607","Q114880130","Directed","subclass_of"
"133","Q5510816","Q1165777","Directed","subclass_of"
"134","Q6907397","Q114880130","Directed","subclass_of"
"135","Q10360435","Q1166726","Directed","subclass_of"
"136","Q12037719","Q1100989","Directed","subclass_of"
"137","Q12042106","Q1100989","Directed","subclass_of"
"138","Q18432631","Q106514601","Directed","subclass_of"
"139","Q22908553","Q114880130","Directed","subclass_of"
"140","Q25389262","Q12200830","Directed","subclass_of"
"141","Q27345019","Q114880130","Directed","subclass_of"
"142","Q28721502","Q1166726","Directed","subclass_of"
"143","Q30895273","Q19938910","Directed","subclass_of"
"144","Q31836693","Q114880130","Directed","subclass_of"
"145","Q47781397","Q114880130","Directed","subclass_of"
"146","Q56342573","Q1033912","Directed","subclass_of"
"147","Q60973191","Q19938910","Directed","subclass_of"
"148","Q96376113","Q110527222","Directed","subclass_of"
"149","Q97178866","Q97278139","Directed","subclass_of"
"150","Q105636937","Q110527222","Directed","subclass_of"
"151","Q106388388","Q114880130","Directed","subclass_of"
"152","Q106477753","Q114880130","Directed","subclass_of"
"153","Q106576261","Q106576141","Directed","subclass_of"
"154","Q106591506","Q114880130","Directed","subclass_of"
"155","Q106594174","Q1033912","Directed","subclass_of"
"156","Q106636289","Q11332204","Directed","subclass_of"
"157","Q106654239","Q1166726","Directed","subclass_of"
"158","Q107091813","Q106576141","Directed","subclass_of"
"159","Q108297194","Q1191544","Directed","subclass_of"
"160","Q108297232","Q4049849","Directed","subclass_of"
"161","Q110127020","Q97278139","Directed","subclass_of"
"162","Q110127031","Q97278139","Directed","subclass_of"
"163","Q110226234","Q98528149","Directed","subclass_of"
"164","Q110620412","Q19938910","Directed","subclass_of"
"165","Q112663444","Q898709","Directed","subclass_of"
"166","Q113600471","Q898709","Directed","subclass_of"
"167","Q113600471","Q1033912","Directed","subclass_of"
"168","Q114878571","Q1033912","Directed","subclass_of"
"169","Q116952929","Q898709","Directed","subclass_of"
"170","Q120715859","Q106514601","Directed","subclass_of"
"171","Q121494463","Q79784514","Directed","subclass_of"
"172","Q123009321","Q1166726","Directed","subclass_of"
"173","Q123922710","Q1136045","Directed","subclass_of"
"174","Q124333204","Q1166726","Directed","subclass_of"
"175","Q133520038","Q848852","Directed","subclass_of"
"176","Q135493744","Q114880130","Directed","subclass_of"
"177","Q20502","Q851213","Directed","subclass_of"
"178","Q21092","Q851213","Directed","subclass_of"
"179","Q56580","Q388906","Directed","subclass_of"
"180","Q170435","Q851213","Directed","subclass_of"
"181","Q170611","Q851213","Directed","subclass_of"
"182","Q188994","Q851213","Directed","subclass_of"
"183","Q205560","Q251192","Directed","subclass_of"
"184","Q216961","Q851213","Directed","subclass_of"
"185","Q217597","Q851213","Directed","subclass_of"
"186","Q251192","Q757143","Directed","subclass_of"
"187","Q325397","Q817138","Directed","subclass_of"
"188","Q339906","Q388906","Directed","subclass_of"
"189","Q341396","Q388906","Directed","subclass_of"
"190","Q362515","Q851213","Directed","subclass_of"
"191","Q372103","Q851213","Directed","subclass_of"
"192","Q382343","Q851213","Directed","subclass_of"
"193","Q388906","Q851213","Directed","subclass_of"
"194","Q476983","Q325504","Directed","subclass_of"
"195","Q513357","Q851213","Directed","subclass_of"
"196","Q602561","Q851213","Directed","subclass_of"
"197","Q655514","Q851213","Directed","subclass_of"
"198","Q749475","Q757143","Directed","subclass_of"
"199","Q820049","Q388906","Directed","subclass_of"
"200","Q828243","Q372103","Directed","subclass_of"
"201","Q848457","Q388906","Directed","subclass_of"
"202","Q858579","Q663519","Directed","subclass_of"
"203","Q903735","Q388906","Directed","subclass_of"
"204","Q922865","Q388906","Directed","subclass_of"
"205","Q1091056","Q817138","Directed","subclass_of"
"206","Q1136331","Q817138","Directed","subclass_of"
"207","Q1191299","Q388906","Directed","subclass_of"
"208","Q1242484","Q388906","Directed","subclass_of"
"209","Q1259016","Q660984","Directed","subclass_of"
"210","Q1265050","Q388906","Directed","subclass_of"
"211","Q1435509","Q817138","Directed","subclass_of"
"212","Q1455487","Q388906","Directed","subclass_of"
"213","Q1585075","Q388906","Directed","subclass_of"
"214","Q1585075","Q663519","Directed","subclass_of"
"215","Q1756101","Q663519","Directed","subclass_of"
"216","Q1890098","Q372103","Directed","subclass_of"
"217","Q2181965","Q388906","Directed","subclass_of"
"218","Q2396639","Q663519","Directed","subclass_of"
"219","Q2406633","Q817138","Directed","subclass_of"
"220","Q2465085","Q757143","Directed","subclass_of"
"221","Q2478478","Q817138","Directed","subclass_of"
"222","Q2549052","Q817138","Directed","subclass_of"
"223","Q2634010","Q663519","Directed","subclass_of"
"224","Q2638634","Q372103","Directed","subclass_of"
"225","Q2693142","Q372103","Directed","subclass_of"
"226","Q2866725","Q757143","Directed","subclass_of"
"227","Q3098078","Q388906","Directed","subclass_of"
"228","Q3492949","Q388906","Directed","subclass_of"
"229","Q3501147","Q388906","Directed","subclass_of"
"230","Q3538739","Q388906","Directed","subclass_of"
"231","Q3613770","Q757143","Directed","subclass_of"
"232","Q4155078","Q372103","Directed","subclass_of"
"233","Q4852979","Q663519","Directed","subclass_of"
"234","Q4993553","Q757143","Directed","subclass_of"
"235","Q6658771","Q817138","Directed","subclass_of"
"236","Q9260728","Q757143","Directed","subclass_of"
"237","Q9615674","Q372103","Directed","subclass_of"
"238","Q11334714","Q663519","Directed","subclass_of"
"239","Q11680297","Q663519","Directed","subclass_of"
"240","Q11830421","Q388906","Directed","subclass_of"
"241","Q12629666","Q388906","Directed","subclass_of"
"242","Q15957030","Q372103","Directed","subclass_of"
"243","Q16837290","Q757143","Directed","subclass_of"
"244","Q24077837","Q757143","Directed","subclass_of"
"245","Q25099691","Q325504","Directed","subclass_of"
"246","Q25389262","Q663519","Directed","subclass_of"
"247","Q56342573","Q388906","Directed","subclass_of"
"248","Q97265899","Q757143","Directed","subclass_of"
"249","Q106521759","Q663519","Directed","subclass_of"
"250","Q106522238","Q217597","Directed","subclass_of"
"251","Q106528422","Q325397","Directed","subclass_of"
"252","Q106594174","Q388906","Directed","subclass_of"
"253","Q106594523","Q655514","Directed","subclass_of"
"254","Q106636289","Q663519","Directed","subclass_of"
"255","Q106641525","Q817138","Directed","subclass_of"
"256","Q106653596","Q663519","Directed","subclass_of"
"257","Q106653596","Q757143","Directed","subclass_of"
"258","Q106922571","Q372103","Directed","subclass_of"
"259","Q109538574","Q216961","Directed","subclass_of"
"260","Q110584468","Q217597","Directed","subclass_of"
"261","Q110584608","Q217597","Directed","subclass_of"
"262","Q110874814","Q663519","Directed","subclass_of"
"263","Q112663444","Q388906","Directed","subclass_of"
"264","Q113510667","Q388906","Directed","subclass_of"
"265","Q114878405","Q217597","Directed","subclass_of"
"266","Q115456684","Q757143","Directed","subclass_of"
"267","Q121494463","Q325504","Directed","subclass_of"
"268","Q122839839","Q388906","Directed","subclass_of"
"269","Q123543092","Q388906","Directed","subclass_of"
"270","Q124791567","Q325504","Directed","subclass_of"
"271","Q125854043","Q388906","Directed","subclass_of"
"272","Q127471087","Q388906","Directed","subclass_of"
"273","Q127471087","Q660984","Directed","subclass_of"
"274","Q136696186","Q388906","Directed","subclass_of"
"275","Q423918","Q1326777","Directed","subclass_of"
"276","Q660984","Q851213","Directed","subclass_of"
"277","Q663519","Q851213","Directed","subclass_of"
"278","Q823560","Q1326777","Directed","subclass_of"
"279","Q848852","Q851213","Directed","subclass_of"
"280","Q861823","Q851213","Directed","subclass_of"
"281","Q888137","Q851213","Directed","subclass_of"
"282","Q898709","Q851213","Directed","subclass_of"
"283","Q1033912","Q851213","Directed","subclass_of"
"284","Q1136045","Q851213","Directed","subclass_of"
"285","Q1143744","Q98528166","Directed","subclass_of"
"286","Q1165777","Q851213","Directed","subclass_of"
"287","Q1166726","Q851213","Directed","subclass_of"
"288","Q1191544","Q851213","Directed","subclass_of"
"289","Q1262781","Q2478478","Directed","subclass_of"
"290","Q1325944","Q851213","Directed","subclass_of"
"291","Q1661924","Q851213","Directed","subclass_of"
"292","Q1866223","Q1326777","Directed","subclass_of"
"293","Q1976128","Q2549052","Directed","subclass_of"
"294","Q2406633","Q851213","Directed","subclass_of"
"295","Q2467789","Q851213","Directed","subclass_of"
"296","Q2866725","Q851213","Directed","subclass_of"
"297","Q3039303","Q851213","Directed","subclass_of"
"298","Q3108920","Q851213","Directed","subclass_of"
"299","Q3587612","Q1326777","Directed","subclass_of"
"300","Q3613770","Q2478478","Directed","subclass_of"
"301","Q4045538","Q851213","Directed","subclass_of"
"302","Q4049849","Q851213","Directed","subclass_of"
"303","Q4155078","Q1403744","Directed","subclass_of"
"304","Q5071702","Q98528166","Directed","subclass_of"
"305","Q5320459","Q5551384","Directed","subclass_of"
"306","Q5716953","Q851213","Directed","subclass_of"
"307","Q7844612","Q851213","Directed","subclass_of"
"308","Q7844612","Q98528166","Directed","subclass_of"
"309","Q9364028","Q851213","Directed","subclass_of"
"310","Q10293901","Q851213","Directed","subclass_of"
"311","Q11332204","Q851213","Directed","subclass_of"
"312","Q12200830","Q851213","Directed","subclass_of"
"313","Q16625659","Q2342263","Directed","subclass_of"
"314","Q17146868","Q851213","Directed","subclass_of"
"315","Q18379604","Q851213","Directed","subclass_of"
"316","Q19358266","Q851213","Directed","subclass_of"
"317","Q19358266","Q98528166","Directed","subclass_of"
"318","Q19938910","Q851213","Directed","subclass_of"
"319","Q21006606","Q851213","Directed","subclass_of"
"320","Q24077837","Q2478478","Directed","subclass_of"
"321","Q25408203","Q851213","Directed","subclass_of"
"322","Q30594541","Q851213","Directed","subclass_of"
"323","Q30902501","Q851213","Directed","subclass_of"
"324","Q55641646","Q851213","Directed","subclass_of"
"325","Q55641735","Q851213","Directed","subclass_of"
"326","Q56276781","Q851213","Directed","subclass_of"
"327","Q65330805","Q851213","Directed","subclass_of"
"328","Q65937774","Q851213","Directed","subclass_of"
"329","Q79784514","Q11308620","Directed","subclass_of"
"330","Q80480981","Q3876770","Directed","subclass_of"
"331","Q90730712","Q4059163","Directed","subclass_of"
"332","Q97278139","Q1634085","Directed","subclass_of"
"333","Q98528149","Q851213","Directed","subclass_of"
"334","Q98528171","Q6865341","Directed","subclass_of"
"335","Q100922002","Q851213","Directed","subclass_of"
"336","Q101109587","Q851213","Directed","subclass_of"
"337","Q104602773","Q851213","Directed","subclass_of"
"338","Q105636940","Q65937906","Directed","subclass_of"
"339","Q105672644","Q851213","Directed","subclass_of"
"340","Q106130091","Q851213","Directed","subclass_of"
"341","Q106514601","Q851213","Directed","subclass_of"
"342","Q106520965","Q851213","Directed","subclass_of"
"343","Q106547179","Q851213","Directed","subclass_of"
"344","Q106576141","Q851213","Directed","subclass_of"
"345","Q106876075","Q851213","Directed","subclass_of"
"346","Q107505833","Q1136331","Directed","subclass_of"
"347","Q107697201","Q851213","Directed","subclass_of"
"348","Q107985638","Q11308620","Directed","subclass_of"
"349","Q108297187","Q851213","Directed","subclass_of"
"350","Q108297243","Q851213","Directed","subclass_of"
"351","Q109469638","Q851213","Directed","subclass_of"
"352","Q109589387","Q851213","Directed","subclass_of"
"353","Q109873537","Q851213","Directed","subclass_of"
"354","Q110391587","Q851213","Directed","subclass_of"
"355","Q110527222","Q851213","Directed","subclass_of"
"356","Q110620412","Q2626684","Directed","subclass_of"
"357","Q111442385","Q851213","Directed","subclass_of"
"358","Q112997482","Q90568328","Directed","subclass_of"
"359","Q114443489","Q851213","Directed","subclass_of"
"360","Q114880130","Q851213","Directed","subclass_of"
"361","Q115890848","Q851213","Directed","subclass_of"
"362","Q116314630","Q90568328","Directed","subclass_of"
"363","Q117193818","Q1634085","Directed","subclass_of"
"364","Q117198196","Q851213","Directed","subclass_of"
"365","Q120484427","Q851213","Directed","subclass_of"
"366","Q122932896","Q851213","Directed","subclass_of"
"367","Q126335126","Q851213","Directed","subclass_of"
"368","Q126728409","Q90568328","Directed","subclass_of"
"369","Q131286868","Q1326777","Directed","subclass_of"
"370","Q131529620","Q851213","Directed","subclass_of"
"371","Q132324210","Q851213","Directed","subclass_of"
"372","Q134380635","Q851213","Directed","subclass_of"
"373","Q135437136","Q851213","Directed","subclass_of"
"374","Q733804","Q890887","Directed","subclass_of"
"375","Q750811","Q598593","Directed","subclass_of"
"376","Q828243","Q1298934","Directed","subclass_of"
"377","Q835131","Q622871","Directed","subclass_of"
"378","Q1228230","Q627906","Directed","subclass_of"
"379","Q1521688","Q2748817","Directed","subclass_of"
"380","Q2365784","Q627906","Directed","subclass_of"
"381","Q2385862","Q622871","Directed","subclass_of"
"382","Q2452152","Q622871","Directed","subclass_of"
"383","Q2497323","Q622871","Directed","subclass_of"
"384","Q3474944","Q1298934","Directed","subclass_of"
"385","Q5655695","Q3032212","Directed","subclass_of"
"386","Q5655695","Q30917612","Directed","subclass_of"
"387","Q6081528","Q1585015","Directed","subclass_of"
"388","Q9348934","Q890887","Directed","subclass_of"
"389","Q9356246","Q622871","Directed","subclass_of"
"390","Q10286190","Q622871","Directed","subclass_of"
"391","Q11319210","Q1298934","Directed","subclass_of"
"392","Q11339397","Q1298934","Directed","subclass_of"
"393","Q11691380","Q627906","Directed","subclass_of"
"394","Q11831728","Q1585015","Directed","subclass_of"
"395","Q11877639","Q627906","Directed","subclass_of"
"396","Q11882045","Q2260696","Directed","subclass_of"
"397","Q20047305","Q627906","Directed","subclass_of"
"398","Q22964975","Q118324067","Directed","subclass_of"
"399","Q24885387","Q2748817","Directed","subclass_of"
"400","Q24941533","Q1298934","Directed","subclass_of"
"401","Q25389065","Q622871","Directed","subclass_of"
"402","Q97277483","Q928825","Directed","subclass_of"
"403","Q106423092","Q2271846","Directed","subclass_of"
"404","Q106493832","Q20021059","Directed","subclass_of"
"405","Q106493832","Q85748774","Directed","subclass_of"
"406","Q106522190","Q1585015","Directed","subclass_of"
"407","Q106634926","Q20021059","Directed","subclass_of"
"408","Q108555812","Q874038","Directed","subclass_of"
"409","Q108555812","Q18358879","Directed","subclass_of"
"410","Q109713845","Q622871","Directed","subclass_of"
"411","Q109713928","Q622871","Directed","subclass_of"
"412","Q109713947","Q622871","Directed","subclass_of"
"413","Q109714050","Q622871","Directed","subclass_of"
"414","Q109714096","Q622871","Directed","subclass_of"
"415","Q110526770","Q915152","Directed","subclass_of"
"416","Q110526823","Q627906","Directed","subclass_of"
"417","Q110526823","Q915152","Directed","subclass_of"
"418","Q111678759","Q202925","Directed","subclass_of"
"419","Q111971801","Q107090501","Directed","subclass_of"
"420","Q112829330","Q598593","Directed","subclass_of"
"421","Q113493820","Q627906","Directed","subclass_of"
"422","Q114809047","Q890887","Directed","subclass_of"
"423","Q114878571","Q27345019","Directed","subclass_of"
"424","Q116745991","Q85741139","Directed","subclass_of"
"425","Q122474184","Q85748774","Directed","subclass_of"
"426","Q122474257","Q598593","Directed","subclass_of"
"427","Q123413364","Q388100","Directed","subclass_of"
"428","Q124151378","Q1339027","Directed","subclass_of"
"429","Q127606323","Q29973057","Directed","subclass_of"
"430","Q127606347","Q29973057","Directed","subclass_of"
"431","Q127606355","Q29973057","Directed","subclass_of"
"432","Q127606361","Q29973057","Directed","subclass_of"
"433","Q127606370","Q29973057","Directed","subclass_of"
"434","Q127606375","Q29973057","Directed","subclass_of"
"435","Q127606386","Q29973057","Directed","subclass_of"
"436","Q127606390","Q29973057","Directed","subclass_of"
"437","Q127606394","Q388100","Directed","subclass_of"
"438","Q127606411","Q29973057","Directed","subclass_of"
"439","Q130474681","Q598593","Directed","subclass_of"
"440","Q135369460","Q956717","Directed","subclass_of"
"441","Q20903","Q20474","Directed","subclass_of"
"442","Q2428625","Q223840","Directed","subclass_of"
"443","Q2611143","Q223840","Directed","subclass_of"
"444","Q2963621","Q20474","Directed","subclass_of"
"445","Q3538739","Q1524033","Directed","subclass_of"
"446","Q4706203","Q835131","Directed","subclass_of"
"447","Q4852979","Q107091813","Directed","subclass_of"
"448","Q4965901","Q107091813","Directed","subclass_of"
"449","Q11319232","Q11319210","Directed","subclass_of"
"450","Q18393891","Q20474","Directed","subclass_of"
"451","Q21000514","Q223840","Directed","subclass_of"
"452","Q24876318","Q20903","Directed","subclass_of"
"453","Q65065491","Q20474","Directed","subclass_of"
"454","Q65065491","Q20903","Directed","subclass_of"
"455","Q80480981","Q20474","Directed","subclass_of"
"456","Q98076452","Q744417","Directed","subclass_of"
"457","Q98528158","Q20474","Directed","subclass_of"
"458","Q105404852","Q2452152","Directed","subclass_of"
"459","Q106404229","Q20474","Directed","subclass_of"
"460","Q106528420","Q20903","Directed","subclass_of"
"461","Q106577542","Q22908553","Directed","subclass_of"
"462","Q106594102","Q107091813","Directed","subclass_of"
"463","Q106636283","Q106636289","Directed","subclass_of"
"464","Q107407607","Q47781397","Directed","subclass_of"
"465","Q108197774","Q20903","Directed","subclass_of"
"466","Q108297232","Q106423092","Directed","subclass_of"
"467","Q108297238","Q223840","Directed","subclass_of"
"468","Q109335331","Q20474","Directed","subclass_of"
"469","Q109714084","Q10286190","Directed","subclass_of"
"470","Q109715091","Q10286190","Directed","subclass_of"
"471","Q109715837","Q2385862","Directed","subclass_of"
"472","Q109753757","Q47781397","Directed","subclass_of"
"473","Q110967939","Q5466607","Directed","subclass_of"
"474","Q111628716","Q47781397","Directed","subclass_of"
"475","Q111653578","Q47781397","Directed","subclass_of"
"476","Q111971785","Q47781397","Directed","subclass_of"
"477","Q113621229","Q2374619","Directed","subclass_of"
"478","Q114107195","Q2452152","Directed","subclass_of"
"479","Q114594005","Q21000514","Directed","subclass_of"
"480","Q114743580","Q223840","Directed","subclass_of"
"481","Q115690999","Q65065491","Directed","subclass_of"
"482","Q117405746","Q113600471","Directed","subclass_of"
"483","Q117750973","Q2374619","Directed","subclass_of"
"484","Q118798959","Q20474","Directed","subclass_of"
"485","Q119259589","Q20903","Directed","subclass_of"
"486","Q122910849","Q47781397","Directed","subclass_of"
"487","Q123421084","Q20903","Directed","subclass_of"
"488","Q125799361","Q106423092","Directed","subclass_of"
"489","Q125854043","Q106423092","Directed","subclass_of"
"490","Q130301602","Q1228230","Directed","subclass_of"
"491","Q136206123","Q223840","Directed","subclass_of"
"492","Q136539124","Q65065491","Directed","subclass_of"
"493","Q137442001","Q113600471","Directed","subclass_of"
"494","Q46649","Q188994","Directed","subclass_of"
"495","Q341395","Q170611","Directed","subclass_of"
"496","Q481900","Q170435","Directed","subclass_of"
"497","Q526463","Q170611","Directed","subclass_of"
"498","Q622871","Q170435","Directed","subclass_of"
"499","Q646165","Q188994","Directed","subclass_of"
"500","Q832665","Q170435","Directed","subclass_of"
"501","Q890887","Q170435","Directed","subclass_of"
