"","Source","Target","Type","Relationship"
"555","Q106634944","Q20502","Directed","subclass_of"
"556","Q107010574","Q188994","Directed","subclass_of"
"557","Q107090501","Q20502","Directed","subclass_of"
"558","Q107332291","Q188994","Directed","subclass_of"
"559","Q107697041","Q20502","Directed","subclass_of"
"560","Q107697221","Q170611","Directed","subclass_of"
"561","Q108297203","Q20502","Directed","subclass_of"
"562","Q108321657","Q20502","Directed","subclass_of"
"563","Q108610259","Q20502","Directed","subclass_of"
"564","Q108610706","Q20502","Directed","subclass_of"
"565","Q108831582","Q170435","Directed","subclass_of"
"566","Q109146989","Q20502","Directed","subclass_of"
"567","Q109148913","Q20502","Directed","subclass_of"
"568","Q109378734","Q20502","Directed","subclass_of"
"569","Q109538574","Q20502","Directed","subclass_of"
"570","Q110101956","Q20502","Directed","subclass_of"
"571","Q110127020","Q170435","Directed","subclass_of"
"572","Q110185782","Q170611","Directed","subclass_of"
"573","Q110584483","Q188994","Directed","subclass_of"
"574","Q110967939","Q188994","Directed","subclass_of"
"575","Q111182811","Q170611","Directed","subclass_of"
"576","Q111804002","Q188994","Directed","subclass_of"
"577","Q112663444","Q170611","Directed","subclass_of"
"578","Q114238485","Q188994","Directed","subclass_of"
"579","Q114878405","Q170611","Directed","subclass_of"
"580","Q116296482","Q20502","Directed","subclass_of"
"581","Q116875230","Q20502","Directed","subclass_of"
"582","Q119438497","Q20502","Directed","subclass_of"
"583","Q123753500","Q20502","Directed","subclass_of"
"584","Q124791567","Q188994","Directed","subclass_of"
"585","Q126175574","Q20502","Directed","subclass_of"
"586","Q127470401","Q170611","Directed","subclass_of"
"587","Q130474688","Q170435","Directed","subclass_of"
"588","Q130474689","Q170435","Directed","subclass_of"
"589","Q134997891","Q170435","Directed","subclass_of"
"590","Q135637","Q106422444","Directed","subclass_of"
"591","Q188450","Q116985035","Directed","subclass_of"
"592","Q202925","Q106576170","Directed","subclass_of"
"593","Q341364","Q106528337","Directed","subclass_of"
"594","Q341395","Q106528337","Directed","subclass_of"
"595","Q341396","Q106528337","Directed","subclass_of"
"596","Q481900","Q106528337","Directed","subclass_of"
"597","Q655514","Q116985035","Directed","subclass_of"
"598","Q773880","Q106422444","Directed","subclass_of"
"599","Q773880","Q116985035","Directed","subclass_of"
"600","Q784310","Q116985035","Directed","subclass_of"
"601","Q1100989","Q105763581","Directed","subclass_of"
"602","Q1298934","Q116985035","Directed","subclass_of"
"603","Q1980100","Q106422444","Directed","subclass_of"
"604","Q2271846","Q106422444","Directed","subclass_of"
"605","Q2634010","Q106528337","Directed","subclass_of"
"606","Q3503814","Q105763581","Directed","subclass_of"
"607","Q3736049","Q105763581","Directed","subclass_of"
"608","Q16002495","Q105763581","Directed","subclass_of"
"609","Q16894106","Q106422444","Directed","subclass_of"
"610","Q19358266","Q116985035","Directed","subclass_of"
"611","Q23301960","Q116985035","Directed","subclass_of"
"612","Q28055053","Q116985035","Directed","subclass_of"
"613","Q98528139","Q106576170","Directed","subclass_of"
"614","Q104695865","Q116985035","Directed","subclass_of"
"615","Q106388388","Q106369996","Directed","subclass_of"
"616","Q106424145","Q106422444","Directed","subclass_of"
"617","Q108297242","Q105763581","Directed","subclass_of"
"618","Q108907695","Q105763581","Directed","subclass_of"
"619","Q109378734","Q116985035","Directed","subclass_of"
"620","Q110527222","Q105763581","Directed","subclass_of"
"621","Q110584468","Q105763581","Directed","subclass_of"
"622","Q110942239","Q106422444","Directed","subclass_of"
"623","Q111540473","Q105763581","Directed","subclass_of"
"624","Q118324067","Q106422444","Directed","subclass_of"
"625","Q123009321","Q106369996","Directed","subclass_of"
"626","Q123753500","Q112997482","Directed","subclass_of"
"627","Q125455905","Q112997482","Directed","subclass_of"
"628","Q127470401","Q106576170","Directed","subclass_of"
"629","Q130474681","Q98528166","Directed","subclass_of"
"630","Q131529620","Q107697234","Directed","subclass_of"
"631","Q307054","Q3084222","Directed","subclass_of"
"632","Q724755","Q820049","Directed","subclass_of"
"633","Q1102871","Q46649","Directed","subclass_of"
"634","Q1262781","Q106521662","Directed","subclass_of"
"635","Q1275972","Q903735","Directed","subclass_of"
"636","Q1524033","Q3084222","Directed","subclass_of"
"637","Q1983750","Q820049","Directed","subclass_of"
"638","Q2374619","Q339906","Directed","subclass_of"
"639","Q2710523","Q1102161","Directed","subclass_of"
"640","Q2842043","Q2615500","Directed","subclass_of"
"641","Q3048168","Q3084222","Directed","subclass_of"
"642","Q3062629","Q848457","Directed","subclass_of"
"643","Q3066180","Q339906","Directed","subclass_of"
"644","Q3501147","Q820049","Directed","subclass_of"
"645","Q4177625","Q1585075","Directed","subclass_of"
"646","Q4637208","Q339906","Directed","subclass_of"
"647","Q4637208","Q1585075","Directed","subclass_of"
"648","Q5978495","Q903735","Directed","subclass_of"
"649","Q9011351","Q2615500","Directed","subclass_of"
"650","Q9149801","Q106521662","Directed","subclass_of"
"651","Q11312853","Q848457","Directed","subclass_of"
"652","Q11693017","Q1585075","Directed","subclass_of"
"653","Q11830421","Q1166321","Directed","subclass_of"
"654","Q16951912","Q29480448","Directed","subclass_of"
"655","Q30919272","Q2615500","Directed","subclass_of"
"656","Q106577108","Q1890098","Directed","subclass_of"
"657","Q108716407","Q1166321","Directed","subclass_of"
"658","Q109322851","Q903735","Directed","subclass_of"
"659","Q109589387","Q930592","Directed","subclass_of"
"660","Q110127031","Q205560","Directed","subclass_of"
"661","Q111540473","Q1102161","Directed","subclass_of"
"662","Q113621229","Q3098078","Directed","subclass_of"
"663","Q114238485","Q3084222","Directed","subclass_of"
"664","Q124357128","Q820049","Directed","subclass_of"
"665","Q124846645","Q820049","Directed","subclass_of"
"666","Q130325403","Q106522238","Directed","subclass_of"
"667","Q135396723","Q848457","Directed","subclass_of"
"668","Q135396809","Q848457","Directed","subclass_of"
"669","Q135437342","Q106404300","Directed","subclass_of"
"670","Q135553474","Q106404300","Directed","subclass_of"
"671","Q28458027","Q11831728","Directed","subclass_of"
"672","Q109713720","Q106528420","Directed","subclass_of"
"673","Q113621229","Q106577542","Directed","subclass_of"
"674","Q132165415","Q733804","Directed","subclass_of"
